,Number of selected features,Selected F1 Score
Euclidean,4.0,0.8004257094583923
Braycurtis,4.0,0.9042950094708362
Canberra,3.0,0.9122658299853227
Cityblock,4.0,0.8499364825293532
Chebyshev,4.0,0.7642337564699477
Clark,6.0,0.9199131605704983
Correlation,20.0,0.8096103260021257
Cosine,10.0,0.8400392095351943
Hellinger,2.0,0.9179669995892731
Jaccard,1.0,0.8897262948898242
Lorentzian,4.0,0.8686072835905154
Marylandbridge,16.0,0.7467421761237805
Meehl,7.0,0.796898797483483
Motyka,4.0,0.9042950094708362
Soergel,4.0,0.9042950094708362
Wave_Hedges,7.0,0.9068282958782953
Kulczynski,4.0,0.9042950094708362
Add_Chisq,2.0,0.9187940869537189
