oid,class
3337,BYDra
4690,BYDra
5135,RSCVN
5810,BYDra
6526,BYDra
6876,BYDra
7307,BYDra
7551,RSCVN
7752,RSCVN
8559,BYDra
9441,BYDra
10187,RSCVN
12420,RSCVN
12492,RSCVN
13499,BYDra
13852,BYDra
14029,RSCVN
14755,BYDra
15176,RSCVN
15227,BYDra
15614,BYDra
15810,RSCVN
16533,RSCVN
18197,BYDra
18934,BYDra
19877,RSCVN
20077,RSCVN
20810,RSCVN
20886,RSCVN
20903,RSCVN
20941,RSCVN
21639,BYDra
22055,BYDra
22823,BYDra
23876,RSCVN
23951,RSCVN
24677,BYDra
25878,RSCVN
26594,BYDra
26959,RSCVN
27089,BYDra
27160,RSCVN
27252,BYDra
27861,RSCVN
28511,RSCVN
29078,RSCVN
33653,RSCVN
34436,BYDra
34935,RSCVN
35207,BYDra
35877,RSCVN
36446,RSCVN
37055,BYDra
37182,BYDra
37488,RSCVN
37844,BYDra
38275,BYDra
39415,RSCVN
39964,BYDra
40248,BYDra
40338,BYDra
40436,BYDra
41183,BYDra
41222,BYDra
42563,BYDra
42949,BYDra
44808,BYDra
44909,BYDra
44956,BYDra
46090,BYDra
46335,BYDra
47270,RSCVN
48245,BYDra
48458,RSCVN
48477,BYDra
49442,RSCVN
49518,RSCVN
51260,BYDra
51743,BYDra
51795,BYDra
51980,BYDra
52030,BYDra
52038,BYDra
53606,BYDra
53919,BYDra
54034,RSCVN
54145,RSCVN
55399,BYDra
56369,RSCVN
57242,RSCVN
57362,BYDra
59135,BYDra
59884,BYDra
60408,BYDra
60802,BYDra
61353,RSCVN
63412,BYDra
64187,BYDra
66214,RSCVN
66330,BYDra
66333,RSCVN
67212,BYDra
67269,BYDra
68129,RSCVN
68236,BYDra
68419,BYDra
68807,BYDra
69289,BYDra
70431,BYDra
70985,BYDra
72173,RSCVN
72297,BYDra
72316,RSCVN
73512,BYDra
73618,BYDra
74950,RSCVN
75108,BYDra
75148,RSCVN
75720,BYDra
76494,BYDra
77373,BYDra
77934,BYDra
78477,RSCVN
80668,BYDra
81004,RSCVN
