oid,class
100,RR
239,SR
246,EA
390,SR
529,RSCVN
540,SR
605,BYDra
756,RSCVN
789,BYDra
866,DSCT
900,CEP
923,EA
927,EW
980,RSCVN
983,RSCVN
985,RSCVN
1071,BYDra
1082,EA
1194,RSCVN
1211,BYDra
1226,CEP
1229,SR
1276,EA
1282,SR
1314,CEP
1363,RRc
1369,CEP
1457,DSCT
1532,SR
1641,BYDra
1776,Mira
1925,DSCT
1974,BYDra
1997,BYDra
2003,SR
2027,CEP
2073,RSCVN
2160,BYDra
2312,RR
2339,EA
2405,BYDra
2423,RR
2485,EW
2541,RSCVN
2564,RRc
2700,EA
2701,EA
2832,DSCT
2846,DSCT
2874,EW
2922,RR
2944,BYDra
2947,Mira
2983,BYDra
3219,DSCT
3240,EA
3297,RSCVN
3496,EW
3534,DSCT
3564,DSCT
3576,RSCVN
3613,BYDra
3637,EW
3723,BYDra
3761,RSCVN
3772,RSCVN
3909,RRc
4018,SR
4040,RSCVN
4055,EA
4236,RSCVN
4292,BYDra
4426,BYDra
4428,BYDra
4475,RSCVN
4514,Mira
4579,EW
4713,EW
4879,BYDra
4897,BYDra
4939,SR
4956,RSCVN
5151,RR
5241,EA
5263,DSCT
5320,BYDra
5375,EW
5454,BYDra
5464,SR
5512,EA
5580,BYDra
5871,CEP
6016,RSCVN
6051,BYDra
6096,CEP
6131,DSCT
6135,CEP
6302,EW
6311,CEP
6375,RSCVN
6520,RSCVN
6567,BYDra
6572,RSCVN
6852,DSCT
6885,EA
6928,EW
6933,RSCVN
6985,EW
7054,SR
7123,CEP
7151,CEP
7170,RSCVN
7226,BYDra
7296,RR
7388,EA
7499,BYDra
7652,DSCT
7787,EA
7804,EW
7830,RSCVN
7904,RRc
7966,Mira
8037,RSCVN
8054,Mira
8111,RSCVN
8175,DSCT
8212,CEP
8240,EA
8278,EW
8292,Mira
8493,SR
8658,RR
8693,SR
8840,RR
8873,DSCT
8920,Mira
8955,EW
9019,EW
9073,RSCVN
9083,CEP
9089,EA
9091,RR
9112,CEP
9138,RSCVN
9209,RR
9291,DSCT
9304,RR
9310,RSCVN
9317,RRc
9360,EW
9362,BYDra
9381,EA
9512,CEP
9515,EW
9523,Mira
9529,EA
9624,CEP
9745,RSCVN
9762,DSCT
9886,BYDra
9906,BYDra
9974,CEP
10042,EW
10104,CEP
10181,RR
10225,CEP
