oid,class
996,SR
7337,DSCT
12557,CEP
3804,SR
7686,SR
1791,EW
18556,RR
5760,RSCVN
7303,SR
13404,RR
22677,DSCT
2929,SR
2201,BYDra
4049,RSCVN
384429,CEP
600152,CEP
2258,RSCVN
55616,RRc
62747,Mira
75359,Mira
738,EW
3624,RSCVN
1595,RSCVN
174527,CEP
11179,RR
29482,RR
1194,RSCVN
4234,EA
304,SR
6239,SR
76985,Mira
1131,RSCVN
16725,RR
327637,CEP
1425,EW
32632,DSCT
2789,BYDra
18741,DSCT
446551,CEP
1977,EW
90664,Mira
3281,DSCT
22457,DSCT
38064,DSCT
15228,DSCT
1502,RSCVN
497627,CEP
1520,RSCVN
25408,RR
3986,BYDra
460970,CEP
73676,RRc
1846,RSCVN
337,BYDra
74856,Mira
4624,SR
7497,SR
34055,DSCT
4229,SR
8602,SR
8543,SR
29343,DSCT
57358,RRc
12761,EA
2909,RSCVN
4872,RSCVN
168073,Mira
7320,DSCT
2884,BYDra
10859,EA
303582,CEP
6632,DSCT
1743,BYDra
459,RSCVN
11705,EA
9471,SR
949,EW
4,EW
147159,Mira
2788,RSCVN
2444,RSCVN
2407,EW
690,BYDra
24996,DSCT
3410,BYDra
6456,EA
16148,DSCT
37777,RRc
554,RR
9865,SR
86044,RRc
20017,RR
71953,CEP
7296,RR
7097,RRc
35752,DSCT
152228,Mira
30014,Mira
148768,Mira
33962,DSCT
889,EW
393924,CEP
2288,DSCT
190,BYDra
136893,CEP
644,EW
27692,DSCT
9252,EA
3658,SR
20238,CEP
8469,SR
33166,DSCT
9512,CEP
399,BYDra
481262,CEP
79187,Mira
11256,DSCT
9534,EA
5014,SR
6607,RR
14563,DSCT
104555,RRc
20997,RR
1763,DSCT
16534,RRc
5766,RR
4822,EA
12205,EA
413,EW
1688,BYDra
4671,SR
13116,Mira
385686,CEP
28351,Mira
12062,DSCT
25206,Mira
5597,SR
1098,EW
89610,CEP
1638,RSCVN
27154,DSCT
2280,BYDra
905,EA
57536,RRc
2110,EW
2981,BYDra
19943,DSCT
4839,BYDra
299151,CEP
117276,Mira
744,BYDra
87339,Mira
2878,SR
69693,Mira
181873,CEP
416,SR
1142,RSCVN
155075,Mira
10344,SR
114790,Mira
21850,DSCT
18319,DSCT
12105,RRc
11093,EA
20570,RR
23353,Mira
3932,BYDra
33151,RR
109,EW
22554,DSCT
3844,RSCVN
604,EA
1712,RSCVN
2733,RSCVN
6676,EA
166962,Mira
15016,CEP
9339,EA
87755,RRc
1765,SR
708,EW
6356,RSCVN
1326,EA
79075,RRc
2611,RSCVN
32409,RR
4443,SR
3632,EA
70719,Mira
2501,EW
6975,RR
12594,DSCT
162980,CEP
71211,Mira
1516,EW
1253,EW
76657,RRc
16,EW
6613,RR
2320,BYDra
5890,RRc
3924,RSCVN
103325,RRc
5220,BYDra
4630,BYDra
93143,RRc
6585,SR
1058,BYDra
13048,RR
2626,BYDra
2128,BYDra
512187,CEP
12475,EA
20484,RR
10234,DSCT
2458,RSCVN
12628,RR
3223,SR
3504,RSCVN
660,RSCVN
1195,BYDra
117712,Mira
66340,RRc
6888,SR
1578,EW
6953,SR
3516,DSCT
8476,DSCT
144,BYDra
384362,CEP
80080,RRc
3521,DSCT
3570,BYDra
135211,Mira
2953,EA
63040,RRc
15421,DSCT
9630,SR
170783,Mira
7801,CEP
1084,EW
21055,CEP
48181,RRc
22397,RR
3306,RSCVN
291,EW
1887,EW
